epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,461.886,0.90104,0.77598,0.96048,0.86786,0.73901,0.79851,0.67272,0.90011,0.8987,0.92188,0.00091783,0.00091783,0.00091783
85,467.712,0.92711,0.71938,0.9842,0.94443,0.8,0.80412,0.68278,0.92583,0.74614,0.93892,0.00091684,0.00091684,0.00091684
86,473.422,0.93429,0.72514,0.96428,0.75635,0.71509,0.8125,0.68202,0.93157,0.9162,0.99857,0.00091585,0.00091585,0.00091585
87,478.882,0.92904,0.72841,0.97324,0.94806,0.81435,0.83452,0.7027,1.01476,0.68666,0.95806,0.00091486,0.00091486,0.00091486
88,484.272,0.9162,0.71091,0.97077,0.95843,0.82505,0.82949,0.71332,0.93993,0.66676,0.92916,0.00091387,0.00091387,0.00091387
89,489.739,0.88952,0.66622,0.94795,0.98092,0.80921,0.83176,0.7086,0.90717,0.6409,0.91354,0.00091288,0.00091288,0.00091288
90,495.098,0.90518,0.68343,0.9507,0.81277,0.45144,0.64937,0.54547,0.89687,1.54015,0.97093,0.00091189,0.00091189,0.00091189
91,500.705,0.91575,0.67594,0.96469,0.93946,0.81589,0.82976,0.67918,0.9933,0.76172,0.96056,0.0009109,0.0009109,0.0009109
92,506.588,0.9041,0.74574,0.96464,0.91999,0.8,0.81166,0.68103,0.90582,0.71469,0.92076,0.00090991,0.00090991,0.00090991
93,512.138,0.87019,0.65109,0.94054,0.94222,0.80601,0.82971,0.7061,0.95237,0.76004,0.94188,0.00090892,0.00090892,0.00090892
94,517.956,0.88494,0.69087,0.95141,0.96777,0.80181,0.82954,0.70227,0.95963,0.69051,0.93522,0.00090793,0.00090793,0.00090793
95,524.135,0.87594,0.67189,0.94631,0.93431,0.76294,0.83019,0.68078,1.00489,0.79439,0.94688,0.00090694,0.00090694,0.00090694
96,530.177,0.91271,0.7067,0.95632,0.98562,0.80486,0.82996,0.70397,0.93742,0.63348,0.91537,0.00090595,0.00090595,0.00090595
97,536.62,0.85579,0.64094,0.94181,0.98602,0.80206,0.82975,0.69236,1.03771,0.76874,0.96805,0.00090496,0.00090496,0.00090496
98,543.169,0.87788,0.66471,0.94963,0.9491,0.80811,0.83064,0.69534,0.90053,0.63892,0.93112,0.00090397,0.00090397,0.00090397
99,549.579,0.88295,0.67707,0.95229,0.98098,0.80928,0.82923,0.712,0.88938,0.65751,0.9311,0.00090298,0.00090298,0.00090298
100,556.035,0.85402,0.63526,0.94621,0.8722,0.7975,0.82966,0.71183,0.91498,0.83702,0.93032,0.00090199,0.00090199,0.00090199
101,562.472,0.88903,0.67676,0.96286,0.95139,0.81594,0.82971,0.70864,0.93275,0.70328,0.92573,0.000901,0.000901,0.000901
102,569.344,0.89795,0.66102,0.96735,0.93963,0.82737,0.81559,0.6883,0.89303,0.7197,0.92318,0.00090001,0.00090001,0.00090001
103,575.776,0.92913,0.70414,0.97385,0.93782,0.83333,0.82933,0.71722,0.85541,0.6505,0.9002,0.00089902,0.00089902,0.00089902
104,581.764,0.88363,0.65504,0.93607,0.98288,0.83015,0.83431,0.69412,0.99199,0.6643,0.93697,0.00089803,0.00089803,0.00089803
105,588.448,0.85474,0.61753,0.94286,0.96516,0.81145,0.83337,0.70983,0.91329,0.68289,0.91715,0.00089704,0.00089704,0.00089704
106,595.317,0.90738,0.67022,0.97379,0.65079,0.68741,0.7432,0.6235,1.00873,1.38125,0.95547,0.00089605,0.00089605,0.00089605
107,602.711,0.9462,0.67853,0.98524,0.68819,0.64383,0.61548,0.52729,0.89704,1.35643,0.91696,0.00089506,0.00089506,0.00089506
108,610.309,0.87376,0.64343,0.953,0.98419,0.80526,0.82985,0.69144,0.95534,0.62344,0.9163,0.00089407,0.00089407,0.00089407
